"filename", "language", "JSON", "EditorConfig", "JavaScript", "Markdown", "YAML", "TypeScript", "HTML", "CSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\template\index.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\template\template-detail.component.html", "HTML", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 5, 55
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\template\template-detail.component.ts", "TypeScript", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 21, 115
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\template\template-list.component.html", "HTML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\template\template-list.component.ts", "TypeScript", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 25, 129
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\template\template.component.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\template\template.component.ts", "TypeScript", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 12, 88
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\toc\toc.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 2, 21
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\toc\toc.component.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\version\version.component.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 3, 38
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\components\version\version.label.component.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 9, 41
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\lib\classes\author.classes.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\lib\classes\category.classes.ts", "TypeScript", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 16, 109
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\lib\classes\changelog.classes.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 5, 21
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\lib\classes\classes.ts", "TypeScript", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 6, 15, 91
"c:\Users\sno.NSD\IdeaProjects\qddt-client\src\app\lib\classes\controlconstruct.classes.ts", "TypeScript", 0, 0, 0, 0, 0, 204, 0, 0, 0, 0, 10, 24, 238
